year,category,index_level,pct_change_since_2000
2000,Health,44.4011959240735,0.0
2001,Health,47.50927963875865,7.000000000000006
2002,Health,50.83492921347176,14.490000000000025
2003,Health,54.39337425841479,22.504300000000033
2004,Health,58.20091045650383,31.079601000000046
2005,Health,62.2749741884591,40.25517307000006
2006,Health,66.63422238165124,50.07303518490007
2007,Health,71.29861794836683,60.57814764784308
2008,Health,76.2895212047525,71.81861798319208
2009,Health,81.62978768908518,83.84592124201554
2010,Health,87.34387282732115,96.71513572895665
2011,Health,93.45794392523364,110.48519522998363
2012,Health,100.0,125.21915889608249
2013,Health,105.65331922876821,137.95151691282476
2014,Health,111.62623864056003,151.40367577360317
2015,Health,117.93682625397751,165.61632811794234
2016,Health,124.60417153039259,180.6324670701821
2017,Health,131.6484431193676,196.49751629322733
2018,Health,139.09094986860882,213.25946739465255
2019,Health,146.95420528300724,230.96902510081136
2020,Health,155.261995627755,249.6797606381022
2021,Health,164.03945188154813,269.44827378536667
2022,Health,173.31312575753367,290.334364087627
2023,Health,183.11107002196357,312.401211749083
2024,Health,193.46292335351848,335.7155687525671
2025,Health,204.40000000000006,360.3479607835927
2026,Health,216.66400000000007,387.96883843060834
2027,Health,229.66384000000008,417.24696873644484
2028,Health,243.4436704000001,448.28178686063154
2029,Health,258.0502906240001,481.1786940722695
2030,Health,273.53330806144015,516.0494157166058
2031,Health,289.9453065451266,553.0123806596022
2032,Health,307.3420249378342,592.1931234991783
2033,Health,325.7825464341043,633.7247109091292
2034,Health,345.3294992201506,677.748193563677
2035,Health,366.0492691733596,724.4130851774976
2036,Health,388.01222532376124,773.8778702881475
2037,Health,411.29295884318697,826.3105425054365
2038,Health,435.9705363737782,881.8891750557627
2039,Health,462.12876855620493,940.8025255591085
2040,Health,489.8564946695773,1003.2506770926551
2041,Health,519.247884349752,1069.4457177182146
2042,Health,550.4027574107371,1139.6124607813074
2043,Health,583.4269228553813,1213.989208428186
2044,Health,618.4325382267043,1292.8285609338775
2045,Health,655.5384905203066,1376.3982745899102
2000,Education,39.71137586459912,0.0
2001,Education,42.88828593376705,8.000000000000007
2002,Education,46.31934880846842,16.64000000000001
2003,Education,50.02489671314589,25.971200000000017
2004,Education,54.02688845019757,36.04889600000003
2005,Education,58.349039526213375,46.93280768000003
2006,Education,63.01696268831045,58.687432294400054
2007,Education,68.05831970337529,71.38242687795207
2008,Education,73.50298527964532,85.09302102818823
2009,Education,79.38322410201694,99.90046271044328
2010,Education,85.73388203017831,115.89249972727877
2011,Education,92.59259259259258,133.16389970546112
2012,Education,100.0,151.81701168189804
2013,Education,105.30868443280387,165.18518218020688
2014,Education,110.89919016967869,179.26302666471008
2015,Education,116.78647821432199,194.08821948783648
2016,Education,122.9863038029056,209.7004350144974
2017,Education,129.51525856737132,226.14145379643787
2018,Education,136.39081493704305,243.45527438304958
2019,Education,143.6313728973802,261.6882310678664
2020,Education,151.2563092310059,280.88911788584994
2021,Education,159.286029372786,301.1093191933001
2022,Education,167.7420220177305,322.4029471798404
2023,Education,176.64691662785623,344.82698668048135
2024,Education,186.02454399190728,368.44144767529866
2025,Education,195.90000000000006,393.3095258848384
2026,Education,207.65400000000008,422.90809743792875
2027,Education,220.1132400000001,454.28258328420446
2028,Education,233.3200344000001,487.53953828125674
2029,Education,247.31923646400014,522.7919105781323
2030,Education,262.15839065184014,560.1594252128201
2031,Education,277.88789409095057,599.7689907255893
2032,Education,294.56116773640764,641.7551301691249
2033,Education,312.2348378005921,686.2604379792724
2034,Education,330.96892806862763,733.4360642580288
2035,Education,350.8270637527453,783.4422281135105
2036,Education,371.87668757791005,836.4487618003212
